/*DADOS DE ENTRADA*/
# netwrork
param vb   := 12.66;  # kV
param SE   := 0; # nó que identifica a subestação
param vmin := 0.90; # tensão mínima
param vmax := 1.03; # tensão máxima

# battery & capacitor 
param cp_Max := 40; # big number
param battery_instal_cost := 3000;
param capacitor_instal_cost := 800;
param cp_module_cost := 300; # $ per module

param cp_size := 75; # kVAr
param bat_module_capacity := 50; # kWh
param bat_inverter_capacity := 25; #kW
param man := 0.015;

param: B:                life_Cy life_yr      DoD   Rtef    beta      cosB   cosI    :=
      # CAES               50000.0    50.0     40.0   68.0     0.5      44.2  693.4   # CAES
      # Flywhell          302517.9    30.3     85.0   87.0    39.2    1958.5  195.9   # Flywhell
      # Flooded_LA          3225.0    12.8     50.0   85.5     0.3      73.8   60.7   # Flooded LA
      # VRLA                3225.0    12.8     50.0   83.4     0.3     131.8   60.7   # VRLA
      Li-Ion_LFP          4774.3    18.4     90.0   93.7     0.1     224.1   60.7   # Li-Ion LFP
      # Li-Ion_nca          1909.7    18.4     90.0   96.8     0.2     145.1   60.7   # Li-Ion nca
      # Li-Ion_NMC          3819.4    18.4     90.0   96.8     0.1     167.3   60.7   # Li-Ion NMC
      # Li-Ion_Titaanate   19097.1    23.0     95.0   97.8     0.1     478.0   60.7   # Li-Ion Titaanate
      # NaNiCl              4537.8    22.7    100.0   87.0     5.0     161.3   60.7   # NaNiCl
      # NaS                 7500.0    24.3    100.0   85.0     0.1     162.0   60.7   # NaS
      # Vanadium_Flow      13000.0    19.2    100.0   78.1     0.2     118.8  629.2   # Vanadium Flow
      # ZnBr_Flow          10000.0    16.0    100.0   78.1    15.0     308.7   60.7   # ZnBr Flow
;

# PV allocation parameters
param theta_pf := 0.97; 
param pv_panel_capacity := 0.7; # kwp
param pv_inverter_capacity := 5; # kw
param pv_panel_cost := 100; # $
param pv_inverter_cost := 1000; # $
param pv_installation_cost := 2500; # $

param:	
T:	ET          SUT:=
1	0.30988     0.44389
2	0.30988     0.44389
3	0.30988     0.44389
4	0.30988     0.44389
5	0.30988     0.44389
6	0.30988     0.44389
7	0.30988     0.44389
8	0.30988     0.44389
9	0.30988     0.44389
10	0.30988     0.44389
11	0.30988     0.44389
12	0.30988     0.44389
13	0.30988     0.44389
14	0.30988     0.44389
15	0.30988     0.44389
16	0.30988     0.44389
17	0.30988     0.44389
18	0.30988     0.44389
19	0.30988     0.44389
20	0.30988     0.44389
21	0.30988     0.44389
22	0.30988     0.44389
23	0.30988     0.44389
24	0.30988     0.44389
;

param:
N: 	Pd    Qd    region      allowed_busses     pf:=
0	0     0     1                 0            0
1	100   60    1                 1            0.8574929257125442
2	90    40    2                 1            0.9138115486202572
3	120   80    1                 1            0.8320502943378437
4	60    30    3                 1            0.894427190999916
5	60    20    3                 1            0.9486832980505138
6	200   100   1                 1            0.8944271909999159
7	200   100   1                 1            0.8944271909999159
8	60    20    3                 1            0.9486832980505138
9	60    20    3                 1            0.9486832980505138
10	45    30    3                 1            0.8320502943378437
11	60    35    3                 1            0.8637789008984335
12	60    35    3                 1            0.8637789008984335
13	120   80    1                 1            0.8320502943378437
14	60    10    3                 1            0.9863939238321437
15	60    20    3                 1            0.9486832980505138
16	60    20    3                 1            0.9486832980505138
17	90    40    3                 1            0.9138115486202572
18	90    40    2                 1            0.9138115486202572
19	90    40    2                 1            0.9138115486202572
20	90    40    2                 1            0.9138115486202572
21	90    40    2                 1            0.9138115486202572
22	90    50    2                 1            0.8741572761215377
23	420   200   1                 1            0.9028605188239304
24	420   200   1                 1            0.9028605188239304
25	60    25    3                 1            0.9230769230769231
26	60    25    3                 1            0.9230769230769231
27	60    20    3                 1            0.9486832980505138
28	120   70    1                 1            0.8637789008984335
29	200   600   1                 1            0.3162277660168379
30	150   70    1                 1            0.9061831399952653
31	210   100   1                 1            0.9028605188239304
32	60    40    3                 1            0.8320502943378437
;


param: L: 	R		X	Imax:=
# l  m n	ohm     ohm      A
1	0	1	0.0922	0.0477	200
2	1	2	0.4930	0.2511	200
3	2	3	0.3660	0.1864	200
4	3	4	0.3811	0.1941	200
5	4	5	0.8190	0.7070	200
6	5	6	0.1872	0.6188	80
7	6	7	0.7114	0.2351	80
8	7	8	1.0300	0.7400	80
9	8	9	1.0440	0.7400	80
10	9	10	0.1966	0.0650	80
11	10	11	0.3744	0.1238	80
12	11	12	1.4680	1.1550	80
13	12	13	0.5416	0.7129	80
14	13	14	0.5910	0.5260	50
15	14	15	0.7463	0.5450	50
16	15	16	1.2890	1.7210	50
17	16	17	0.7320	0.5740	50
18	1	18	0.1640	0.1565	50
19	18	19	1.5042	1.3554	50
20	19	20	0.4095	0.4784	50
21	20	21	0.7089	0.9373	50
22	2	22	0.4512	0.3083	50
23	22	23	0.8980	0.7091	50
24	23	24	0.8960	0.7011	50
25	5	25	0.2030	0.1034	150
26	25	26	0.2842	0.1447	150
27	26	27	1.0590	0.9337	150
28	27	28	0.8042	0.7006	150
29	28	29	0.5075	0.2585	150
30	29	30	0.9744	0.9630	150
31	30	31	0.3105	0.3619	150
32	31	32	0.3410	0.5302	150
# 33	7	20	2	2	300
# 34	8	14	2	2	300
# 35	11	21	2	2	300
# 36	17	32	0.5	0.5	300
# 37	24	28	0.5	0.5	300
;
