M,D,T,curve_load
1,1,1,0.4350294956440209
1,1,2,0.3562155721373599
1,1,3,0.3135797163730125
1,1,4,0.29391334922061185
1,1,5,0.28787553228894014
1,1,6,0.30309801929913666
1,1,7,0.36502129155760443
1,1,8,0.4590147282884714
1,1,9,0.5350392624135641
1,1,10,0.5662851115365083
1,1,11,0.5682052584287222
1,1,12,0.5648630698910029
1,1,13,0.5784193460171114
1,1,14,0.5545747548540846
1,1,15,0.5469293276555848
1,1,16,0.5508829159667149
1,1,17,0.6215396335508069
1,1,18,0.8775813571902958
1,1,19,0.9039106145251398
1,1,20,0.8408250966910187
1,1,21,0.7697249677696606
1,1,22,0.7088193928976053
1,1,23,0.6341133726608588
1,1,24,0.5509297964605229
1,2,1,0.465663944993554
1,2,2,0.3789643317576279
1,2,3,0.32371078642028367
1,2,4,0.2970025784271595
1,2,5,0.28890739149119044
1,2,6,0.29530511388053293
1,2,7,0.3176192522561238
1,2,8,0.37211001289213586
1,2,9,0.4881284916201118
1,2,10,0.6106306403094114
1,2,11,0.6684196390201977
1,2,12,0.6990653201547057
1,2,13,0.7306295659647616
1,2,14,0.7072894284486465
1,2,15,0.6755801461108725
1,2,16,0.6606091534164161
1,2,17,0.69654598195101
1,2,18,0.9272024065320156
1,2,19,0.9456542758917061
1,2,20,0.8655672539750753
1,2,21,0.7939192092823378
1,2,22,0.7109529437043405
1,2,23,0.6380425440481308
1,2,24,0.5448968629136228
1,3,1,0.5685431886549206
1,3,2,0.4989256553502364
1,3,3,0.4327889987107865
1,3,4,0.37155135367425873
1,3,5,0.3162870648904169
1,3,6,0.30575848732273314
1,3,7,0.3158143532445209
1,3,8,0.32930812204555227
1,3,9,0.3705629565964762
1,3,10,0.4596476149548776
1,3,11,0.5714654061022777
1,3,12,0.6149978513107006
1,3,13,0.6666953158573272
1,3,14,0.6613235926085089
1,3,15,0.658573270305114
1,3,16,0.6364417705199829
1,3,17,0.6874946282767512
1,3,18,0.8787709497206706
1,3,19,0.917232488182209
1,3,20,0.8525999140524282
1,3,21,0.8008165019338204
1,3,22,0.7296948861194673
1,3,23,0.6440481306403095
1,3,24,0.541641598624839
2,1,1,0.45265363128491626
2,1,2,0.37378599054576717
2,1,3,0.32446282767511825
2,1,4,0.29480554361839284
2,1,5,0.2861570691877955
2,1,6,0.2940373871938118
2,1,7,0.3183874086807048
2,1,8,0.37858831113021063
2,1,9,0.4998388483025355
2,1,10,0.6087075633863344
2,1,11,0.6501826385904599
2,1,12,0.6668564675547917
2,1,13,0.6983562526858618
2,1,14,0.6621078642028364
2,1,15,0.6394660507090676
2,1,16,0.615400730554362
2,1,17,0.6340943274602493
2,1,18,0.8215782122905029
2,1,19,0.9022238934250109
2,1,20,0.8431993983669962
2,1,21,0.7766061452513968
2,1,22,0.6909432746024926
2,1,23,0.6194778685002149
2,1,24,0.5249838848302536
2,2,1,0.4051282051282052
2,2,2,0.3329537315570836
2,2,3,0.2937902879243662
2,2,4,0.2737931528434322
2,2,5,0.2700401088669246
2,2,6,0.2879673399226472
2,2,7,0.3468056152413695
2,2,8,0.431965334479301
2,2,9,0.49176335768514545
2,2,10,0.5177051998281049
2,2,11,0.5128061882251828
2,2,12,0.5064102564102565
2,2,13,0.5173685718378457
2,2,14,0.4880747743876236
2,2,15,0.4735496347228192
2,2,16,0.47537602062741735
2,2,17,0.5218450078785275
2,2,18,0.7173184357541901
2,2,19,0.810385331614382
2,2,20,0.7888697894284488
2,2,21,0.7236427445924654
2,2,22,0.6696605070906748
2,2,23,0.5981163157140812
2,2,24,0.5202764646898725
2,3,1,0.42767818773405375
2,3,2,0.354539873534287
2,3,3,0.3160476395113267
2,3,4,0.2957793603045
2,3,5,0.2898735342869422
2,3,6,0.3078642028362699
2,3,7,0.3702744183191111
2,3,8,0.4682945546074038
2,3,9,0.5339799864939531
2,3,10,0.5602216219534656
2,3,11,0.5560224691509609
2,3,12,0.5503345816194979
2,3,13,0.5586469396525263
2,3,14,0.5323868868561606
2,3,15,0.517926207870342
2,3,16,0.5229080974891032
2,3,17,0.5778991957762909
2,3,18,0.7985112652710419
2,3,19,0.882678494689668
2,3,20,0.8282767511817792
2,3,21,0.758303149364602
2,3,22,0.6993154889802935
2,3,23,0.6265977039720058
2,3,24,0.5431426115783659
3,1,1,0.4385850880962614
3,1,2,0.36008272453803186
3,1,3,0.3110388912763215
3,1,4,0.28572733132789
3,1,5,0.2777718091963902
3,1,6,0.2829555221314998
3,1,7,0.3094810915341642
3,1,8,0.37720240653201553
3,1,9,0.49291469703480884
3,1,10,0.5885636012032661
3,1,11,0.6362537602062743
3,1,12,0.6539052428018909
3,1,13,0.6747314138375592
3,1,14,0.6494359690588742
3,1,15,0.6270788568972927
3,1,16,0.6003652771809197
3,1,17,0.6143693596905888
3,1,18,0.7653899871078643
3,1,19,0.8298023205844436
3,1,20,0.8195584443489473
3,1,21,0.7567361409540182
3,1,22,0.6801246239793727
3,1,23,0.6058981521272025
3,1,24,0.5053072625698325
3,2,1,0.4119371627751517
3,2,2,0.34002530678508336
3,2,3,0.29963949768419046
3,2,4,0.27800219643795065
3,2,5,0.2732583679511054
3,2,6,0.2909253688583298
3,2,7,0.3501456333858569
3,2,8,0.43926132836747367
3,2,9,0.5001886071718474
3,2,10,0.5246956023492337
3,2,11,0.5237931528434322
3,2,12,0.5206608413312325
3,2,13,0.5348517404383327
3,2,14,0.5080504225755623
