M,D,prob_D
1,1,0.7096774193548387
1,2,0.25806451612903225
1,3,0.03225806451612903
2,1,0.2857142857142857
2,2,0.21428571428571427
2,3,0.5
3,1,0.25806451612903225
3,2,0.5806451612903226
3,3,0.16129032258064516
4,1,0.26666666666666666
4,2,0.5666666666666667
4,3,0.16666666666666666
5,1,0.2903225806451613
5,2,0.2903225806451613
5,3,0.41935483870967744
6,1,0.26666666666666666
6,2,0.43333333333333335
6,3,0.3
7,1,0.16129032258064516
7,2,0.3225806451612903
7,3,0.5161290322580645
8,1,0.3225806451612903
8,2,0.25806451612903225
8,3,0.41935483870967744
9,1,0.3
9,2,0.5333333333333333
9,3,0.16666666666666666
10,1,0.2903225806451613
10,2,0.4838709677419355
10,3,0.22580645161290322
11,1,0.5333333333333333
11,2,0.26666666666666666
11,3,0.2
12,1,0.1935483870967742
12,2,0.5161290322580645
12,3,0.2903225806451613
