M,S,T,curve_pv
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.0
1,1,8,0.0
1,1,9,0.009874999999999998
1,1,10,0.021187500000000005
1,1,11,0.03225
1,1,12,0.043375
1,1,13,0.05931250000000002
1,1,14,0.04543749999999999
1,1,15,0.03612499999999998
1,1,16,0.010500000000000002
1,1,17,0.0
1,1,18,0.0
1,1,19,0.0
1,1,20,0.0
1,1,21,0.0
1,1,22,0.0
1,1,23,0.0
1,1,24,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,0.0
1,2,8,0.0
1,2,9,0.034166666666666665
1,2,10,0.1885
1,2,11,0.35350000000000004
1,2,12,0.44633333333333336
1,2,13,0.46099999999999997
1,2,14,0.3803333333333333
1,2,15,0.31399999999999995
1,2,16,0.09166666666666666
1,2,17,0.0
1,2,18,0.0
1,2,19,0.0
1,2,20,0.0
1,2,21,0.0
1,2,22,0.0
1,2,23,0.0
1,2,24,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.0
1,3,8,0.0
1,3,9,0.03088888888888889
1,3,10,0.11222222222222222
1,3,11,0.21866666666666668
1,3,12,0.2328888888888889
1,3,13,0.195
1,3,14,0.17555555555555555
1,3,15,0.08744444444444445
1,3,16,0.025777777777777778
1,3,17,0.0
1,3,18,0.0
1,3,19,0.0
1,3,20,0.0
1,3,21,0.0
1,3,22,0.0
1,3,23,0.0
1,3,24,0.0
2,1,1,0.0
2,1,2,0.0
2,1,3,0.0
2,1,4,0.0
2,1,5,0.0
2,1,6,0.0
2,1,7,0.0
2,1,8,0.016800000000000002
2,1,9,0.1062
2,1,10,0.2574
2,1,11,0.368
2,1,12,0.47820000000000007
2,1,13,0.3202
2,1,14,0.1572
2,1,15,0.1522
2,1,16,0.15139999999999998
2,1,17,0.0174
2,1,18,0.0
2,1,19,0.0
2,1,20,0.0
2,1,21,0.0
2,1,22,0.0
2,1,23,0.0
2,1,24,0.0
2,2,1,0.0
2,2,2,0.0
2,2,3,0.0
2,2,4,0.0
2,2,5,0.0
2,2,6,0.0
2,2,7,0.0
2,2,8,0.0011538461538461529
2,2,9,0.04446153846153846
2,2,10,0.07323076923076918
2,2,11,0.09561538461538463
2,2,12,0.10246153846153849
2,2,13,0.10007692307692304
2,2,14,0.10461538461538461
2,2,15,0.13823076923076927
2,2,16,0.08638461538461538
2,2,17,0.028538461538461537
2,2,18,0.0
2,2,19,0.0
2,2,20,0.0
2,2,21,0.0
2,2,22,0.0
2,2,23,0.0
2,2,24,0.0
2,3,1,0.0
2,3,2,0.0
2,3,3,0.0
2,3,4,0.0
2,3,5,0.0
2,3,6,0.0
2,3,7,0.0
2,3,8,0.0167
2,3,9,0.156
2,3,10,0.36829999999999996
2,3,11,0.5192000000000001
2,3,12,0.5414
2,3,13,0.5585
2,3,14,0.5449999999999999
2,3,15,0.4637
2,3,16,0.2886
2,3,17,0.0791
2,3,18,0.0
2,3,19,0.0
2,3,20,0.0
2,3,21,0.0
2,3,22,0.0
2,3,23,0.0
2,3,24,0.0
3,1,1,0.0
