T,1,2,3
1,0.1775,0.6942,0.5032
2,0.1775,0.6992,0.5621
3,0.1741,0.7150,0.6212
4,0.1745,0.7338,0.6567
5,0.2455,0.6944,0.6434
6,0.7628,0.6524,0.5414
7,0.8039,0.6283,0.4773
8,0.8543,0.5544,0.3934
9,0.9162,0.5365,0.2855
10,0.9271,0.4848,0.2338
11,0.8495,0.4548,0.2338
12,0.8184,0.4634,0.2524
13,0.9054,0.4706,0.2746
14,0.9238,0.4884,0.3574
15,0.8904,0.4981,0.3971
16,0.8935,0.5455,0.4845
17,0.8587,0.6536,0.5826
18,0.8057,0.7245,0.6535
19,0.4505,0.8301,0.7591
20,0.3515,0.8618,0.8108
21,0.2391,0.9079,0.8069
22,0.2075,0.8961,0.7051
23,0.1775,0.8620,0.5697
24,0.1775,0.8471,0.5260
